Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,Match_Stage,Context_Notes,Top_3_Candidates
OYSTER RIVER COOPERATIVE SD,New Hampshire,NH,NH-OYSTER RIVER COOPERATIVE SD,Matched,NH-OYSTER RIVER COOPERATIVE SCHOOL DISTRICT,1.0,exact,,
BERKELEY HEIGHTS SD,New Jersey,NJ,NJ-BERKELEY HEIGHTS SD,Matched,NJ-BERKELEY HEIGHTS SCHOOL DISTRICT,1.0,exact,,
CEDAR GROVE SD,New Jersey,NJ,NJ-CEDAR GROVE SD,Matched,NJ-CEDAR GROVE SCHOOL DISTRICT,1.0,exact,,
OCEAN COUNTY COLLEGE,New Jersey,NJ,NJ-OCEAN COUNTY COLLEGE,Matched,NJ-OCEAN COUNTY COLLEGE,1.0,exact,,
SHAMONG TOWNSHIP SD,New Jersey,NJ,NJ-SHAMONG TOWNSHIP SD,Matched,NJ-SHAMONG TOWNSHIP SCHOOL DISTRICT,1.0,exact,,
TULSA PUBLIC SCHOOLS,Oklahoma,OK,OK-TULSA PUBLIC SCHOOLS,Matched,OK-TULSA PUBLIC SCHOOLS,1.0,exact,,
CITY OF CORNELIUS,Oregon,OR,OR-CITY OF CORNELIUS,Matched,OR-CITY OF CORNELIUS,1.0,exact,,
CITY OF DALLAS,Oregon,OR,OR-CITY OF DALLAS,Matched,OR-CITY OF DALLAS,1.0,exact,,
CITY OF GEARHART,Oregon,OR,OR-CITY OF GEARHART,Matched,OR-CITY OF GEARHART,1.0,exact,,
CITY OF HOOD RIVER,Oregon,OR,OR-CITY OF HOOD RIVER,Matched,OR-CITY OF HOOD RIVER,1.0,exact,,
CITY OF LAKE OSWEGO,Oregon,OR,OR-CITY OF LAKE OSWEGO,Matched,OR-CITY OF LAKE OSWEGO,1.0,exact,,
CITY OF TIGARD,Oregon,OR,OR-CITY OF TIGARD,Matched,OR-CITY OF TIGARD,1.0,exact,,
EVERGREEN PARK ESD 124,Illinois,IL,IL-EVERGREEN PARK ESD 124,Matched,IL-EVERGREEN PARK ELEMENTARY SCHOOL DISTRICT 124,1.0,exact,,
LINCOLNWOOD SD 74,Illinois,IL,IL-LINCOLNWOOD SD 74,Matched,IL-LINCOLNWOOD SCHOOL DISTRICT 74,1.0,exact,,
MORAINE VALLEY COMMUNITY COLLEGE,Illinois,IL,IL-MORAINE VALLEY COMMUNITY COLLEGE,Matched,IL-MORAINE VALLEY COMMUNITY COLLEGE,1.0,exact,,
HEREFORD ISD,Texas,TX,TX-HEREFORD ISD,Matched,TX-HEREFORD ISD,1.0,exact,,
HOUSTON ISD,Texas,TX,TX-HOUSTON ISD,Matched,TX-HOUSTON ISD,1.0,exact,,
KELLER ISD,Texas,TX,TX-KELLER ISD,Matched,TX-KELLER ISD,1.0,exact,,
KILLEEN ISD,Texas,TX,TX-KILLEEN ISD,Matched,TX-KILLEEN ISD,1.0,exact,,
LA JOYA ISD,Texas,TX,TX-LA JOYA ISD,Matched,TX-LA JOYA ISD,1.0,exact,,
LAMPASAS ISD,Texas,TX,TX-LAMPASAS ISD,Matched,TX-LAMPASAS ISD,1.0,exact,,
LANCASTER ISD,Texas,TX,TX-LANCASTER ISD,Matched,TX-LANCASTER ISD,1.0,exact,,
LEANDER ISD,Texas,TX,TX-LEANDER ISD,Matched,TX-LEANDER ISD,1.0,exact,,
LUFKIN ISD,Texas,TX,TX-LUFKIN ISD,Matched,TX-LUFKIN ISD,1.0,exact,,
CITY OF MARION,Iowa,IA,IA-CITY OF MARION,Matched,IA-CITY OF MARION,1.0,exact,,
CITY OF RICHARDSON,Texas,TX,TX-CITY OF RICHARDSON,Matched,TX-CITY OF RICHARDSON,1.0,exact,,
CITY OF SAN ANTONIO,Texas,TX,TX-CITY OF SAN ANTONIO,Matched,TX-CITY OF SAN ANTONIO,1.0,exact,,
CITY OF SUGAR LAND,Texas,TX,TX-CITY OF SUGAR LAND,Matched,TX-CITY OF SUGAR LAND,1.0,exact,,
COOPER ISD,Texas,TX,TX-COOPER ISD,Matched,TX-COOPER ISD,1.0,exact,,
CYPRESS-FAIRBANKS ISD,Texas,TX,TX-CYPRESS-FAIRBANKS ISD,Matched,TX-CYPRESS FAIRBANKS ISD,1.0,exact,,
DALLAS ISD,Texas,TX,TX-DALLAS ISD,Matched,TX-DALLAS ISD,1.0,exact,,
EAGLE PASS ISD,Texas,TX,TX-EAGLE PASS ISD,Matched,TX-EAGLE PASS ISD,1.0,exact,,
EANES ISD,Texas,TX,TX-EANES ISD,Matched,TX-EANES ISD,1.0,exact,,
EL PASO ISD,Texas,TX,TX-EL PASO ISD,Matched,TX-EL PASO ISD,1.0,exact,,
FORT BEND ISD,Texas,TX,TX-FORT BEND ISD,Matched,TX-FORT BEND ISD,1.0,exact,,
FREDERICKSBURG ISD,Texas,TX,TX-FREDERICKSBURG ISD,Matched,TX-FREDERICKSBURG ISD,1.0,exact,,
GATESVILLE ISD,Texas,TX,TX-GATESVILLE ISD,Matched,TX-GATESVILLE ISD,1.0,exact,,
GRAHAM ISD,Texas,TX,TX-GRAHAM ISD,Matched,TX-GRAHAM ISD,1.0,exact,,
GRAPEVINE-COLLEYVILLE ISD,Texas,TX,TX-GRAPEVINE-COLLEYVILLE ISD,Matched,TX-GRAPEVINE-COLLEYVILLE ISD,1.0,exact,,
CITY OF WICHITA,Kansas,KS,KS-CITY OF WICHITA,Matched,KS-CITY OF WICHITA,1.0,exact,,
CLAY COUNTY USD 379,Kansas,KS,KS-CLAY COUNTY USD 379,Matched,KS-CLAY COUNTY UNIFIED SCHOOL DISTRICT 379,1.0,exact,,
JOHNSON COUNTY COMMUNITY COLLEGE,Kansas,KS,KS-JOHNSON COUNTY COMMUNITY COLLEGE,Matched,KS-JOHNSON COUNTY COMMUNITY COLLEGE,1.0,exact,,
SUNSET RIDGE SD 29,Illinois,IL,IL-SUNSET RIDGE SD 29,Matched,IL-SUNSET RIDGE SCHOOL DISTRICT 29,1.0,exact,,
VILLAGE OF BROOKFIELD,Illinois,IL,IL-VILLAGE OF BROOKFIELD,Matched,IL-VILLAGE OF BROOKFIELD,1.0,exact,,
VILLAGE OF GLEN CARBON,Illinois,IL,IL-VILLAGE OF GLEN CARBON,Matched,IL-VILLAGE OF GLEN CARBON,1.0,exact,,
VILLAGE OF LA GRANGE PARK,Illinois,IL,IL-VILLAGE OF LA GRANGE PARK,Matched,IL-VILLAGE OF LA GRANGE PARK,1.0,exact,,
VILLAGE OF RIVERSIDE,Illinois,IL,IL-VILLAGE OF RIVERSIDE,Matched,IL-VILLAGE OF RIVERSIDE,1.0,exact,,
YORKVILLE SD 115,Illinois,IL,IL-YORKVILLE SD 115,Matched,IL-YORKVILLE SCHOOL DISTRICT 115,1.0,exact,,
WESTERN SCHOOL,Indiana,IN,IN-WESTERN SCHOOL,Matched,IN-WESTERN SCHOOL,1.0,exact,,
CITY OF BELLEVUE,Iowa,IA,IA-CITY OF BELLEVUE,Matched,IA-CITY OF BELLEVUE,1.0,exact,,
SCAPPOOSE SD,Oregon,OR,OR-SCAPPOOSE SD,Matched,OR-SCAPPOOSE SCHOOL DISTRICT,1.0,exact,,
